국립공원명,세부위치,위도,경도
설악산,마등령삼거리,38.272777777777776,128.73916666666668
설악산,마등령,38.27611111111111,128.73888888888888
설악산,02-05 일원,38.27222222222222,128.7511111111111
설악산,02-04 일원,38.27111111111111,128.75972222222222
설악산,여심폭포 전망대,38.14833333333333,128.69972222222222
설악산,등선대 하향 300m,38.14694444444444,128.70111111111112
설악산,등선대 하향 100m,38.14333333333333,128.70333333333335
설악산,등선대,38.14388888888889,128.705
설악산,등선폭포 상향 300m,38.14222222222222,128.70388888888888
설악산,등선폭포 상향 100m,38.13666666666666,128.7225
설악산,용소삼거리 상향 400m,38.14083333333333,128.7225
설악산,끝청 하향 300m,38.199999999999996,128.75972222222222
설악산,09-08지점,38.192499999999995,128.71944444444443
설악산,09-08 하향 200m,38.19416666666667,128.71638888888887
설악산,09-07일원,38.183611111111105,128.70777777777778
설악산,09-07 하향 200m,38.183611111111105,128.70666666666668
설악산,09-06일원,38.18666666666666,128.70277777777778
설악산,09-06 하향 200m,38.18694444444444,128.69555555555556
설악산,용아장성,38.237500000000004,128.70499999999998
설악산,남교리 지킴터 상단 700m,38.303333333333335,128.5063888888889
설악산,남교리 지킴터 상단 1Km 날개형 이정표_응봉폭포,38.29888888888889,128.51055555555556
설악산,날개형 이정표 상단 200m,38.29555555555555,128.51333333333332
설악산,날개형 이정표 상단 250m,38.29555555555555,128.51472222222222
설악산,날개형 이정표 상단 400m,38.296388888888885,128.5197222222222
설악산,날개형 이정표 상단 800m,38.29555555555555,128.51833333333335
설악산,복숭아탕 전망대 하향 600m,38.27361111111111,128.53472222222223
설악산,복숭아탕 전망대 하향 200m,38.02916666666667,128.5363888888889
설악산,복숭아탕 전망대 하향 30m,38.276944444444446,128.53944444444446
설악산,한계령탐방지원센터 상향 30M,38.17194444444444,128.68527777777777
설악산,12-17에서 한계령 방향 200M,38.20944444444445,128.65916666666666
설악산,다목적위치표지판12-17,38.20944444444445,128.6547222222222
설악산,1408 정상,38.21888888888889,128.62166666666667
설악산,1408정상에서 대승령방향30m,38.22083333333334,128.61916666666667
설악산,대승폭포 1전망대,38.20722222222223,128.57944444444445
설악산,대승폭포 2전망대,38.20861111111111,128.57694444444445
설악산,대승폭포 3전망대,38.211666666666666,128.57666666666665
속리산,청석재 상단 100m,36.7425,127.92416666666666
속리산,중절모 바위,36.742222222222225,127.92472222222223
속리산,중절모 바위 상단 20m,36.74194444444444,127.92444444444445
속리산,칠보산정상(경관해설판),36.739444444444445,127.92750000000001
속리산,거북바위,36.73972222222222,127.92888888888889
속리산,아가봉 정상에서 옥녀봉 방향 150m 지점,36.71805555555556,127.84388888888888
속리산,안장바위(12-06지점),36.70583333333334,127.93472222222222
속리산,도명산 정상,36.652499999999996,127.81666666666666
속리산,도명산 정상하단 150m,36.652499999999996,127.81583333333333
속리산,상환석문,36.54888888888889,127.86611111111111
속리산,배석대,36.549166666666665,127.86749999999999
속리산,천왕봉 헬기장 위,36.54527777777778,127.87194444444444
속리산,입석대,36.55583333333333,127.87333333333332
속리산,경업대,36.55694444444444,127.86777777777777
속리산,문장대 방향 1.5km,36.573888888888895,127.87638888888888
속리산,문장대 방향 2.3km,36.56861111111112,127.86999999999999
속리산,문장대 방향 2.4km,36.569722222222225,127.86972222222222
속리산,문장대 철계단 옆,36.56722222222223,127.86222222222221
속리산,문장대 정상,36.56777777777778,127.86222222222221
속리산,백악산에서 수안재 방향 0.6km,36.617222222222225,127.86138888888888
속리산,백악산에서 수안재 방향 0.7km,36.617777777777775,127.85111111111111
속리산,백악산에서 수안재 방향 1.2km,36.61944444444445,127.85583333333332
속리산,백악산에서 수안재 방향 2.9km,36.618611111111115,127.83583333333333
속리산,용화에서 묘봉 방향 3km,36.580000000000005,127.82166666666666
속리산,용화에서 묘봉 방향 3.2km,36.581388888888895,127.81833333333333
속리산,용화에서 묘봉 방향 3.4km,36.58027777777778,127.81861111111111
속리산,상학봉 정상,36.57888888888889,127.8236111111111
속리산,묘봉 정상,36.57138888888889,127.82666666666667
내장산,불출봉 ~ 망해봉 방향 200m,35.49888888888889,126.88972222222223
내장산,망해봉 일원,35.49777777777778,126.87944444444443
내장산,까치봉 하단 V형 계곡,35.486666666666665,126.88111111111111
내장산,갓바위 정상부,35.484722222222224,126.82694444444444
내장산,백학봉 정상부,35.44888888888889,126.88222222222221
내장산,"학바위 하단 50m 지점(백학-3,4)",35.44888888888889,126.89277777777777
내장산,"영천굴 상부 50m 지점(백학-1,2)",35.44472222222222,126.88222222222221
가야산,상왕봉 정상1,35.82361111111111,128.12055555555557
가야산,상왕봉 정상2,35.82361111111111,128.12027777777777
가야산,봉천대 상부,35.82277777777778,128.12
가야산,봉천대 상부,35.82277777777778,128.11944444444444
가야산,중봉,35.822500000000005,128.11805555555557
가야산,중봉 하부,35.82222222222222,128.1175
가야산,석조여래입상 인근,35.82194444444445,128.11722222222224
가야산,칠불봉 정상,35.822500000000005,128.1227777777778
가야산,칠불봉 하부,35.822500000000005,128.1225
가야산,칠불봉 하부2,35.82222222222222,128.1227777777778
가야산,남산제일봉 정상,35.772777777777776,128.09555555555556
가야산,남산제일봉 하부,35.772777777777776,128.0952777777778
가야산,남산제일봉 하부1,35.77305555555555,128.09583333333333
가야산,남산제일봉 하부2,35.77388888888889,128.09722222222223
가야산,남산제일봉 하부3,35.77361111111111,128.09944444444446
가야산,남산제일봉 하부4,35.77361111111111,128.10083333333333
가야산,남산제일봉 하부5,35.77388888888889,128.10277777777776
